iso_code	country	ghg	co2	methane	nitrous_oxide	population	gdp	energy_consumption	electricity_generation	renewable_energy	hydropower	wind	biomass	solar	geothermal	
SVK	Slovakia	33.528	34.8572	4.33	1.976	5428605.6	128734856923	183.7912	27064	6629	4606	6	1731	533	0	
SVN	Slovenia	11.032	14.4862	2.012	0.786	2066767.4	53030925871	78.8092	16500	5057	4782	6	281	267	0	
SLB	Solomon_Islands	2.67	0.3268	0.384	0.03	587409	-9999	0.9416	-9999	3.6	0.8	0	0	2.8	0	
SOM	Somalia	40.226	0.6272	19.368	6.728	13437121.6	-9999	3.4292	-9999	8.6	0	4.9	0	3.7	0	
ZAF	South_Africa	502.95	462.5948	45.262	19.186	54531597.2	644746726851	1436.3022	252747	8074	3892.5	3698	437.3	3341	0	
KOR	South_Korea	640.038	633.959	26.3	10.504	50564159.2	1747741042400	3264.4272	562603	15930	6634	1683	5781	5123	0	
ESP	Spain	290.32	263.842	38.674	19.526	46815518	1449568589803	1579.3576	274779	104639	39865	48906	5689	13649	0	
LKA	Sri_Lanka	34.148	18.205	9.618	2.81	20782673	216217594540	74.1094	14284	3950	3507	346	37.9	59.3	0	
SDN	Sudan	145.484	17.3666	54.948	27.282	37998874.8	130254853008	86.923	14429	8182	8051	0	110.5	20.5	0	
SUR	Suriname	7.958	2.6332	1.77	0.308	553167.8	-9999	12.826	2022	1179	1163.5	0	6.5	8.8	0	
SWE	Sweden	46.268	44.4362	5.05	4.87	9690784.4	416321158827	600.5	156010	89127	62137	15479	11487	143	0	
CHE	Switzerland	48.086	40.5192	4.958	2.19	8199915	493674432167	332.6506	63175	37809	36689	109	1743	1333	0	
SYR	Syria	53.786	33.9096	17.286	3.696	18838203.2	70834743242	155.3476	18112	963.5	929	1.1	33.5	0	0	
TJK	Tajikistan	11.696	4.4364	5.064	2.128	8261008.2	29300984132	65.3882	17232	16800	16800	0	0	0	0	
TZA	Tanzania	315.562	10.0766	71.032	31.592	50005719.4	124878482320	55.1452	6998	2597.5	2444.1	0	135.2	18.2	0	
THA	Thailand	410.002	281.9274	87.832	21.248	68421013.6	985224512734	1417.5282	191321	25047	4128	345	17672.6	3377	1.3	
TGO	Togo	14.658	1.9146	3.356	1.746	7139927.8	9809397000	9.759	232	169.6	165.1	0	0	4.4	0	
TON	Tonga	0.28	0.1166	0.1	0.058	101490	-9999	0.5332	-9999	4.5	0	0	0	4.5	0	
TTO	Trinidad_and_Tobago	26.764	44.462	1.23	0.38	1361750.8	37162047795	221.0082	10712	4	0	0	0	4	0	
TUN	Tunisia	38.546	27.8688	6.362	3.394	11069406	120542864762	105.6804	19808	589	45	474	0	70	0	
TUR	Turkey	362.196	368.6268	45.436	32.39	77232608.6	1531814229809	1507.7104	274408	90248	67231	15517	1635	1046	4819	
TKM	Turkmenistan	119.18	67.8672	45.842	3.558	5465652	109729394995	302.122	22534	0	0	0	0	0	0	
TUV	Tuvalu	0.016	0.0086	0.01	0	10979.4	-9999	-9999	-9999	2.8	0	0	0	2.8	0	
UGA	Uganda	77.42	4.1576	31.146	14.57	37007873.8	70412940349	24.4474	-9999	3594	3304.5	0	252	37.8	0	
UKR	Ukraine	327.136	263.3126	72.22	23.31	45097533.4	438260247707	1198.9516	164573	9285	9304	954	169.1	491	0	
ARE	United_Arab_Emirates	243.096	208.023	47.114	6.446	9235511.8	668538360197	1177.735	129956	337.3	0	0	6	331.3	0	
GBR	United_Kingdom	509.618	445.0244	54.992	28.294	65418091.2	2356926030355	2289.4828	332893	110019	5490	56904	34759	12857	0	
USA	United_States	5978.02	5391.1114	644.192	251.06	318602430	16501172484942	25500.2546	4322038	637076	292113	229471	69017	50334	18584	
URY	Uruguay	26.832	7.2026	21.45	8.028	3401000.4	63405299974	64.9194	13238	12795	7842	2994.3	2432.7	153.1	0	
UZB	Uzbekistan	202.794	107.7796	104.928	14.67	30435949.6	264164658537	526.1942	58319	14901	14896	0	0	4.8	0	
VUT	Vanuatu	0.788	0.1306	0.486	0.174	263896.8	-9999	0.6726	-9999	29.9	7.6	5	11.9	5.4	0	
VEN	Venezuela	354.186	185.1916	79.984	14.218	29823584.4	554372666739	936.413	112577	76099	76003.5	88.3	0	6.9	0	
VNM	Vietnam	271.002	169.3096	90.634	23.526	91717177.2	513755336140	735.6802	164832	63654	63105	209.8	332	7	0	
YEM	Yemen	31.576	18.1386	8.196	3.424	25821973.4	95988080429	81.6116	5045	549	0	0	0	549	0	
ZMB	Zambia	465.718	4.8432	112.53	27.496	15406862.2	52920952237	50.1016	11695	11108	11027	0	76	5.2	0	
ZWE	Zimbabwe	66.95	10.9178	11.856	6.618	13579443.4	21049043784	54.2126	7055	3658	3551	0	95.3	12.2	0	
																
																
																
																
																
																
																
																
																
																
																
																
																
																
